"product_id","community_id"
"AUC8347813552572","28513"
"DIO7380739432130","2100"
"VGE1696193679002","11221"
"AUC3663556264943","5914"
"AUC3034213054892","28513"
"KEE1687847431397","14101"
"KIM9399419029209","17114"
"GOT7690071818500","18298"
"OVO8001770962460","41813"
"AUC2008185994860","41813"
"ATY1694594248426","35448"
"ATY1699305235200","23104"
"OVO8001770961401","28513"
"ACU8436552580950","17114"
"WOV6054091092493","6893"
"MEN8683342560498","12602"
"FYD1688674581280","3466"
"ZER1690284326445","11221"
"AUC8718475612599","32161"
"AUC9041484635426","17114"
"FYD9586483970098","18298"
"ATY1686876053762","9268"
"YST1694758233695","6893"
"LIS3701061721671","12945"
"DAV0883190853768","45582"
"VGE1696289833197","14101"
"OMA7388441252398","3817"
"KEX6714482026499","5662"
"ATY1686760761827","14101"
"AUC8347813554637","41813"
"VGE1698825650427","11221"
"ZER7633902841780","30775"
"OVO4208706802843","32161"
"ZJC7411861428880","51931"
"INS3663556133195","5914"
"AUC9451887670540","11221"
"PWS7375280423843","49865"
"VID8719883569567","32161"
"YOS0966479778997","35839"
"DRF1696365601086","11221"
"YST1694499550101","6893"
"SAL1698115161942","42480"
"DRF1696183972660","11221"
"AUC2008478915220","17114"
"DIO1693898653571","35448"
"VGE1696731621322","3466"
"DRF1688748173595","3466"
"WOV6054091092400","6893"
"OVO8001770963917","28513"
"DIO7380738361844","32161"
"VGE7330716566518","3466"
"AUC1698044912227","46259"
"ROK1687938510312","18298"
"AUC9318859667208","28434"
"QQM1689837336402","41813"
"VGE1699045794504","17620"
"DIL7656193951761","14680"
"QQM1695130737371","49865"
"HAO6756872686975","31351"
"DRF1694573257654","35448"
"CUQ9399437173809","28513"
"AUC8237541399351","11221"
"VID8720286635681","45391"
"VID1686886271212","45391"
"FDI7731038579383","17516"
"AUC8347813551667","17114"
"QQM1689562338445","49865"
"ATY1686804642861","14101"
"QQM1692069269810","45933"
"ATY1696008171432","40959"
"AUC1695722020942","34620"
"8243111553917","33972"
"AUC1692862839514","16966"
"AUC4553911508098","14680"
"KIM9193099154707","51931"
"AUC2008412772063","41813"
"AUC8445146004925","40959"
"ATY1698286708384","23104"
"AUC0788472931113","6893"
"FUN1692080221685","34620"
"AUC0783296614228","46512"
"ZER7626870251583","30775"
"AUC1696673337854","5662"
