"product_id","community_id"
"AUC0738589059811","35041"
"GOT2007809889612","22900"
"QQM1684921344618","8332"
"AUC2008013232386","35041"
"WOV9054090343395","48024"
"FYD7078495863861","8431"
"AUC9459394850936","8528"
"AUC3701613718470","46477"
"ZJC9786627155583","11568"
"GOT2007809877756","22900"
"QQM7405144356045","7886"
"AUC0748806409459","48024"
"AUC2008502387306","29489"
"ATY1694446602233","27062"
"AUC0724316165108","11568"
"HAO6779239672480","16541"
"SHI7430548796838","7886"
"DIO7380741959687","27139"
"AUC3663556291659","34019"
"AUC8416089715940","48024"
"VID8720845733520","9316"
"PWS1687849426394","7886"
"AUC3021881765168","35041"
"MOT7314626527142","7886"
"AUC9399437807551","35041"
"AUC2008587750651","29489"
"KEE1685815949392","47159"
"AUC0738604269294","11568"
"VID0705989542861","11568"
"DUO1685950432334","24698"
"AUC6916260887197","10866"
"AUC9489428924395","44690"
"AUC4083345572391","44690"
"CHA8127650477807","48024"
"VID8720286491911","39971"
"OMA7388441314553","8332"
"AUC2008405292301","44690"
"HUR1688526141717","35041"
"AZK2008803853791","16739"
"AUC0742346984094","8431"
"AUC3663556269290","45491"
"AUC7382550255387","44695"
"AUC1695672322422","45034"
"VEN1699322295700","27901"
"YST6054091094633","31678"
"ASH1690564241930","14968"
"PWS7375280414674","7886"
"SAL7430549143167","7886"
"AUC9098432711961","35041"
"SAL1689659921295","7886"
"DIO7798818455992","8416"
"ZJC7053248700013","8416"
"QQM1689667759286","8332"
"HAO6706318688582","30699"
"DIO7848337046604","8416"
"VID1697174765858","10866"
"AUC7352640771813","35041"
"ROK1688182440919","48024"
"AUC3663556279664","43109"
"OVO3000235782075","22900"
"HAO6786297923690","30699"
"VID8719883569635","10866"
"AUC2008439449153","35041"
"QQM1692275557490","29489"
"QQM1692148885797","22900"
"QQM1689562320520","8332"
"ZER1690271286257","11568"
"INS2008586542424","40903"
"VGE1699038195984","39971"
"HEV3700837605856","25909"
"ATM1690248890833","10866"
"SAL1696901352778","7886"
"VID1686126399358","22900"
"ATY1699102936653","11232"
"PWS1686620816882","7886"
"HAO6708798283714","30699"
"AUC0785986786536","48024"
"AUC9442934084564","12157"
"HUR1693241274083","12157"
"OVO4591574897968","11568"
"AUC3432971745159","22900"
"CUQ7048273768220","8416"
"ITA3663556431932","43109"
"WOV9054090367001","32533"
"VGE1688364464018","22143"
"AUC3021881759846","24698"
"SUB2008442253358","48024"
"DIO7798818075060","8416"
"YOS1686242328589","11568"
"HOM0076625491134","1419"
"SAL1697162321669","7886"
"AUC9771398660282","11568"
"PWS1688010432267","7886"
"AUC1696601749070","7762"
"HAO6789607077779","30699"
"AUC1696669561277","48024"
"AUC3515293202842","1419"
"SAL1698151546066","11568"
"AUC4991551670933","35613"
"CUQ7048273768190","8416"
"AUC1694510788017","47325"
"AUC9055991049805","48024"
"AUC4423944917276","29489"
"MOT1689598349539","35041"
"DIO7290579015335","10256"
"MIN1694363349815","47159"
"AUC1696596849013","16114"
"YOS7697288437746","34811"
"ATY1686632077763","8416"
"MOT1688008744862","7886"
"AUC2008090400524","48024"
"SAL1687319186650","7886"
"SOM3700595119145","25909"
"QQM1691635970795","22900"
"QQM1689520890386","8332"
"AUC1695727495232","45034"
"AUC3701613716193","46477"
"YOS7066690807438","32533"
"ATY1696411894020","11232"
"ATY1696412283767","11232"
"AUC0748806409503","48024"
"VID8720286634219","22900"
"AUC3352622117589","44690"
"HUR1688371009506","11568"
"LIS1688566837811","47533"
"MIC5903614646228","3333"
"VID8720287072270","776"
"BES1691630665683","47533"
"AUC5292652407589","22900"
"AUC5452004041674","43187"
"VID8720287072287","776"
"OVO8191122469188","44690"
"AUC7091739736288","44690"
"LAM3664031021785","11568"
"AUC2008437599492","35041"
"AUC3701115105303","11568"
"AUC7801871335528","35041"
"VEN1697156356835","10866"
"ATY1693251290768","11568"
"LAN8424001801992","31559"
"VID8718475957348","29489"
"MOB3701521800939","43187"
"ZJC7902196839118","35041"
